Date,Statement
1998-09-29,"The Federal Open Market Committee decided today to ease the stance of monetarypolicy slightly, expecting the federal funds rate to decline 1/4 percentagepoint to around 5-1/4 percent.The action was taken to cushion the effects on prospective economic growth inthe United States of increasing weakness in foreign economies and of lessaccommodative financial conditions domestically. The recent changes in theglobal economy and adjustments in U.S. financial markets mean that a slightlylower federal funds rate should now be consistent with keeping inflation lowand sustaining economic growth going forward.The discount rate remains unchanged at 5 percent."
1998-11-17,"The Federal Reserve today announced the following set of policy actions:* The Board of Governors approved a reduction in the discount rate by 25 basis  points from 4-3/4 percent to 4-1/2 percent.* The federal funds rate is expected to fall 25 basis points from around 5  percent to around 4-3/4 percent.Although conditions in financial markets have settled down materially sincemid-October, unusual strains remain. With the 75 basis point decline in thefederal funds rate since September, financial conditions can reasonably beexpected to be consistent with fostering sustained economic expansion whilekeeping inflationary pressures subdued.In taking the discount rate action, the Board approved requests submitted bythe Boards of Directors of the Federal Reserve Banks of New York, Philadelphia,and Dallas. The discount rate is the interest rate that is charged depositoryinstitutions when they borrow from their district Federal Reserve Banks."
1999-05-18,"The Federal Reserve released the following statement after today's Federal OpenMarket Committee meeting:While the FOMC did not take action today to alter the stance of monetarypolicy, the Committee was concerned about the potential for a buildup ofinflationary imbalances that could undermine the favorable performance of theeconomy and therefore adopted a directive that is tilted toward the possibilityof a firming in the stance of monetary policy. Trend increases in costs andcore prices have generally remained quite subdued. But domestic financialmarkets have recovered and foreign economic prospects have improved since theeasing of monetary policy last fall. Against the background of already-tightdomestic labor markets and ongoing strength in demand in excess of productivitygains, the Committee recognizes the need to be alert to developments overcoming months that might indicate that financial conditions may no longer beconsistent with containing inflation."
1999-06-30,"The Federal Open Market Committee today voted to raise its target for thefederal funds rate 25 basis points to 5 percent. Last fall the Committeereduced interest rates to counter a significant seizing-up of financial marketsin the United States. Since then much of the financial strain has eased,foreign economies have firmed, and economic activity in the United States hasmoved forward at a brisk pace. Accordingly, the full degree of adjustment isjudged no longer necessary.Labor markets have continued to tighten over recent quarters, but strengtheningproductivity growth has contained inflationary pressures.Owing to the uncertain resolution of the balance of conflicting forces in theeconomy going forward, the FOMC has chosen to adopt a directive that includesno predilection about near-term policy action. The Committee, nonetheless,recognizes that in the current dynamic environment it must be especially alertto the emergence, or potential emergence, of inflationary forces that couldundermine economic growth."
1999-08-24,"The Federal Open Market Committee today voted to raise its target for thefederal funds rate by 25 basis points to 5-1/4 percent. In a related action,the Board of Governors approved a 25 basis point increase in the discount rateto 4-3/4 percent.With financial markets functioning more normally, and with persistent strengthin domestic demand, foreign economies firming and labor markets remaining verytight, the degree of monetary ease required to address the global financialmarket turmoil of last fall is no longer consistent with sustained,noninflationary, economic expansion.Today's increase in the federal funds rate, together with the policy action inJune and the firming of conditions more generally in U.S. financial marketsover recent months, should markedly diminish the risk of rising inflation goingforward. As a consequence, the directive the Federal Open Market Committeeadopted is symmetrical with regard to the outlook for policy over the nearterm.In taking the discount rate action, the Federal Reserve Board approved requestssubmitted by the Boards of Directors of the Federal Reserve Banks of Boston,New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis,Kansas City, and San Francisco. The discount rate is the interest rate that ischarged depository institutions when they borrow from their district FederalReserve Banks."
1999-10-05,"The Federal Open Market Committee decided today to leave its target for thefederal funds rate unchanged.Strengthening productivity growth has been fostering favorable trends in unitcosts and prices, and much recent information suggests that these trends havebeen sustained.Nonetheless, the growth of demand has continued to outpace that of supply, asevidenced by a decreasing pool of available workers willing to take jobs. Inthese circumstances, the Federal Open Market Committee will need to beespecially alert in the months ahead to the potential for costs to increasesignificantly in excess of productivity in a manner that could contribute toinflation pressures and undermine the impressive performance of the economy.Against this background, the Committee adopted a directive that was biasedtoward a possible firming of policy going forward. Committee members emphasizedthat such a directive did not signify a commitment to near-term action. TheCommittee will need to evaluate additional information on the balance ofaggregate supply and demand and conditions in financial markets."
1999-11-16,"The Federal Open Market Committee today voted to raise its target for thefederal funds rate by 25 basis points to 5-1/2 percent. In a related action,the Board of Governors approved a 25 basis point increase in the discount rateto 5 percent.Although cost pressures appear generally contained, risks to sustainable growthpersist. Despite tentative evidence of a slowing in certain interest-sensitivesectors of the economy and of accelerating productivity, the expansion ofactivity continues in excess of the economy's growth potential. As aconsequence, the pool of available workers willing to take jobs has been drawndown further in recent months, a trend that must eventually be contained ifinflationary imbalances are to remain in check and economic expansion continue.Today's increase in the federal funds rate, together with the policy actions inJune and August and the firming of conditions more generally in U.S. financialmarkets over the course of the year, should markedly diminish the risk ofinflation going forward. As a consequence, the directive the Federal OpenMarket Committee adopted is symmetrical with regard to the outlook for policyover the near term.In taking the discount rate action, the Federal Reserve Board approved requestssubmitted by the Boards of Directors of the Federal Reserve Banks of Boston,Cleveland, Richmond and Kansas City. The discount rate is the rate chargeddepository institutions when they borrow short-term adjustment credit fromtheir district Federal Reserve Banks."
1999-12-21,"The Federal Open Market Committee made no change today in its target for thefederal funds rate.Based on the available evidence, however, the Committee remains concerned withthe possibility that over time increases in demand will continue to exceed thegrowth in potential supply, even after taking account of the remarkable rise inproductivity growth. Such trends could foster inflationary imbalances thatwould undermine the economy's exemplary performance.Nonetheless, in light of market uncertainties associated with the century datechange, the Committee decided to adopt a symmetric directive in order toindicate that the focus of policy in the intermeeting period must be ensuring asmooth transition into the Year 2000. At its next meeting the Committee willassess available information on the likely balance of supply and demand,conditions in financial markets, and the possible need for adjustment in thestance of policy to contain inflationary pressures."
2000-02-02,"The Federal Open Market Committee voted today to raise its target for thefederal funds rate by 25 basis points to 5-3/4 percent. In a related action,the Board of Governors approved a 25 basis point increase in the discount rateto 5-1/4 percent.The Committee remains concerned that over time increases in demand willcontinue to exceed the growth in potential supply, even after taking account ofthe pronounced rise in productivity growth. Such trends could fosterinflationary imbalances that would undermine the economy's record economicexpansion.Against the background of its long-run goals of price stability and sustainableeconomic growth and of the information currently available, the Committeebelieves the risks are weighted mainly toward conditions that may generateheightened inflation pressures in the foreseeable future.In taking the discount rate action, the Federal Reserve Board approved requestssubmitted by the Boards of Directors of the Federal Reserve Banks of Boston,New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis,Kansas City and San Francisco. The discount rate is the rate charged depositoryinstitutions when they borrow short-term adjustment credit from their districtFederal Reserve Banks."
2000-03-21,"The Federal Open Market Committee voted today to raise its target for thefederal funds rate by 25 basis points to 6 percent. In a related action, theBoard of Governors approved a 25 basis point increase in the discount rate to5-1/2 percent.Economic conditions and considerations addressed by the Committee areessentially the same as when the Committee met in February. The Committeeremains concerned that increases in demand will continue to exceed the growthin potential supply, which could foster inflationary imbalances that wouldundermine the economy's record economic expansion.Against the background of its long-run goals of price stability and sustainableeconomic growth and of the information currently available, the Committeebelieves the risks are weighted mainly toward conditions that may generateheightened inflation pressures in the foreseeable future.In taking the discount rate action, the Federal Reserve Board approved requestssubmitted by the Boards of Directors of the Federal Reserve Banks of Boston,New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis,Minneapolis, Kansas City and San Francisco. The discount rate is the ratecharged depository institutions when they borrow short-term adjustment creditfrom their district Federal Reserve Banks."
2000-05-16,"The Federal Open Market Committee voted today to raise its target for thefederal funds rate by 50 basis points to 6-1/2 percent. In a related action,the Board of Governors approved a 50 basis point increase in the discount rateto 6 percent.Increases in demand have remained in excess of even the rapid pace ofproductivity-driven gains in potential supply, exerting continued pressure onresources. The Committee is concerned that this disparity in the growth ofdemand and potential supply will continue, which could foster inflationaryimbalances that would undermine the economy's outstanding performance.Against the background of its long-term goals of price stability andsustainable economic growth and of the information already available, theCommittee believes the risks are weighted mainly toward conditions that maygenerate heightened inflation pressures in the foreseeable future.In taking the discount rate action, the Federal Reserve Board approved requestssubmitted by the Boards of Directors of the Federal Reserve Banks of Boston,Cleveland, Richmond, and San Francisco. The discount rate is the rate chargeddepository institutions when they borrow short-term adjustment credit fromtheir district Federal Reserve Banks."
2000-06-28,"The Federal Open Market Committee at its meeting today decided to maintain theexisting stance of monetary policy, keeping its target for the federal fundsrate at 6-1/2 percent.Recent data suggest that the expansion of aggregate demand may be moderatingtoward a pace closer to the rate of growth of the economy's potential toproduce. Although core measures of prices are rising slightly faster than ayear ago, continuing rapid advances in productivity have been containing costsand holding down underlying price pressures.Nonetheless, signs that growth in demand is moving to a sustainable pace arestill tentative and preliminary, and the utilization of the pool of availableworkers remains at an unusually high level.In these circumstances, and against the background of its long-term goals ofprice stability and sustainable economic growth and of the informationcurrently available, the Committee believes the risks continue to be weightedmainly toward conditions that may generate heightened inflation pressures inthe foreseeable future."
2000-08-22,"The Federal Open Market Committee at its meeting today decided to maintain theexisting stance of monetary policy, keeping its target for the federal fundsrate at 6-1/2 percent.Recent data have indicated that the expansion of aggregate demand is moderatingtoward a pace closer to the rate of growth of the economy's potential toproduce. The data also have indicated that more rapid advances in productivityhave been raising that potential growth rate as well as containing costs andholding down underlying price pressures.Nonetheless, the Committee remains concerned about the risk of a continuing gapbetween the growth of demand and potential supply at a time when theutilization of the pool of available workers remains at an unusually highlevel.Against the background of its long-term goals of price stability andsustainable economic growth and of the information currently available, theCommittee believes the risks continue to be weighted mainly toward conditionsthat may generate heightened inflation pressures in the foreseeable future."
2000-10-03,"The Federal Open Market Committee at its meeting today decided to maintain theexisting stance of monetary policy, keeping its target for the federal fundsrate at 6-1/2 percent.Recent data have indicated that the expansion of aggregate demand has moderatedto a pace closer to the enhanced rate of growth of the economy's potential toproduce. The more rapid advances in productivity also continue to help containcosts and hold down underlying price pressures.However, the utilization of the pool of available workers remains at anunusually high level. Moreover, the increase in energy prices, though havinglimited effect on core measures of prices to date, poses a risk of raisinginflation expectations. The subdued behavior of those expectations so far hascontributed importantly to maintaining an environment conducive to maximumsustainable growth.Against the background of its long-term goals of price stability andsustainable economic growth and of the information currently available, theCommittee believes the risks continue to be weighted mainly toward conditionsthat may generate heightened inflation pressures in the future."
2000-11-15,"The Federal Open Market Committee at its meeting today decided to maintain theexisting stance of monetary policy, keeping its target for the federal fundsrate at 6-1/2 percent.The utilization of the pool of available workers remains at an unusually highlevel, and the increase in energy prices, though having limited effect on coremeasures of prices to date, still harbors the possibility of raising inflationexpectations. The Committee, accordingly, continues to see a risk of heightenedinflation pressures. However, softening in business and household demand andtightening conditions in financial markets over recent months suggest that theeconomy could expand for a time at a pace below the productivity-enhanced rateof growth of its potential to produce.Nonetheless, to date the easing of demand pressures has not been sufficient towarrant a change in the Committee's judgment that against the background of itslong-run goals of price stability and sustainable economic growth and of theinformation currently available, the risks continue to be weighted mainlytoward conditions that may generate heightened inflation pressures in theforeseeable future."
2000-12-19,"The Federal Open Market Committee at its meeting today decided to maintain theexisting stance of monetary policy, keeping its target for the federal fundsrate at 6-1/2 percent.The drag on demand and profits from rising energy costs, as well as erodingconsumer confidence, reports of substantial shortfalls in sales and earnings,and stress in some segments of the financial markets suggest that economicgrowth may be slowing further. While some inflation risks persist, they arediminished by the more moderate pace of economic activity and by the absence ofany indication that longer-term inflation expectations have increased. TheCommittee will continue to monitor closely the evolving economic situation.Against the background of its long-run goals of price stability and sustainableeconomic growth and of the information currently available, the Committeeconsequently believes that the risks are weighted mainly toward conditions thatmay generate economic weakness in the foreseeable future."
2001-01-03,"The Federal Open Market Committee decided today to lower its target for thefederal funds rate by 50 basis points to 6 percent.In a related action, the Board of Governors approved a 25-basis-point decreasein the discount rate to 5-3/4 percent, the level requested by seven ReserveBanks. The Board also indicated that it stands ready to approve a furtherreduction of 25 basis points in the discount rate to 5-1/2 percent on therequests of Federal Reserve Banks.These actions were taken in light of further weakening of sales and production,and in the context of lower consumer confidence, tight conditions in somesegments of financial markets, and high energy prices sapping household andbusiness purchasing power. Moreover, inflation pressures remain contained.Nonetheless, to date there is little evidence to suggest that longer-termadvances in technology and associated gains in productivity are abating.The Committee continues to believe that, against the background of its long-rungoals of price stability and sustainable economic growth and of the informationcurrently available, the risks are weighted mainly toward conditions that maygenerate economic weakness in the foreseeable future.In taking the discount rate action, the Federal Reserve Board approved requestssubmitted by the Boards of Directors of the Federal Reserve Banks of New York,Cleveland, Atlanta, St. Louis, Kansas City, Dallas and San Francisco."
2001-01-31,"The Federal Open Market Committee at its meeting today decided to lower itstarget for the federal funds rate by 50 basis points to 5-1/2 percent. In arelated action, the Board of Governors approved a 50 basis point reduction inthe discount rate to 5 percent.Consumer and business confidence has eroded further, exacerbated by risingenergy costs that continue to drain consumer purchasing power and press onbusiness profit margins. Partly as a consequence, retail sales and businessspending on capital equipment have weakened appreciably. In response,manufacturing production has been cut back sharply, with new technologiesappearing to have accelerated the response of production and demand topotential excesses in the stock of inventories and capital equipment.Taken together, and with inflation contained, these circumstances have calledfor a rapid and forceful response of monetary policy. The longer-term advancesin technology and accompanying gains in productivity, however, exhibit fewsigns of abating and these gains, along with the lower interest rates, shouldsupport growth of the economy over time.Nonetheless, the Committee continues to believe that against the background ofits long-run goals of price stability and sustainable economic growth and ofthe information currently available, the risks are weighted mainly towardconditions that may generate economic weakness in the foreseeable future.In taking the discount rate action, the Federal Reserve Board approved requestssubmitted by the Boards of Directors of the Federal Reserve Banks of New York,Philadelphia, Cleveland, Atlanta, Chicago, St. Louis, Minneapolis, Dallas andSan Francisco."
2001-03-20,"The Federal Open Market Committee at its meeting today decided to lower itstarget for the federal funds rate by 50 basis points to 5 percent. In a relatedaction, the Board of Governors approved a 50 basis point reduction in thediscount rate to 4-1/2 percent.Persistent pressures on profit margins are restraining investment spending and,through declines in equity wealth, consumption. The associated backup ininventories has induced a rapid response in manufacturing output and, withspending having firmed a bit since last year, inventory adjustment appears tobe well underway.Although current developments do not appear to have materially diminished theprospects for long-term growth in productivity, excess productive capacity hasemerged recently. The possibility that this excess could continue for some timeand the potential for weakness in global economic conditions suggestsubstantial risks that demand and production could remain soft. In thesecircumstances, when the economic situation could be evolving rapidly, theFederal Reserve will need to monitor developments closely.The Committee continues to believe that against the background of its long-rungoals of price stability and sustainable economic growth and of the informationcurrently available, the risks are weighted mainly toward conditions that maygenerate economic weakness in the foreseeable future.In taking the discount rate action, the Federal Reserve Board approved requestssubmitted by the Boards of Directors of all twelve Reserve Banks."
2001-04-18,"The Federal Open Market Committee decided today to lower its target for thefederal funds rate by 50 basis points to 4-1/2 percent. In a related action,the Board of Governors approved a 50 basis point reduction in the discount rateto 4 percent.The FOMC has reviewed prospects for the economy in light of the informationthat has become available since its March meeting. A significant reduction inexcess inventories seems well advanced. Consumption and housing expenditureshave held up reasonably well, though activity in these areas has flattenedrecently. Although measured productivity probably weakened in the firstquarter, the impressive underlying rate of increase that developed in recentyears appears to be largely intact.Nonetheless, capital investment has continued to soften and the persistenterosion in current and expected profitability, in combination with risinguncertainty about the business outlook, seems poised to dampen capital spendinggoing forward. This potential restraint, together with the possible effects ofearlier reductions in equity wealth on consumption and the risk of slowergrowth abroad, threatens to keep the pace of economic activity unacceptablyweak. As a consequence, the Committee agreed that an adjustment in the stanceof policy is warranted during this extended intermeeting period.The Committee continues to believe that against the background of its long-rungoals of price stability and sustainable economic growth and of the informationcurrently available, the risks are weighted mainly toward conditions that maygenerate economic weakness in the foreseeable future.In taking the discount rate action, the Federal Reserve Board approved requestssubmitted by the Boards of Directors of the Federal Reserve Banks of Boston,New York, Philadelphia, Cleveland, Atlanta, Minneapolis, Dallas, and SanFrancisco."
2001-05-15,"The Federal Open Market Committee at its meeting today decided to lower itstarget for the federal funds rate by 50 basis points to 4 percent. In a relatedaction, the Board of Governors approved a 50 basis point reduction in thediscount rate to 3-1/2 percent.A significant reduction in excess inventories seems well advanced. Consumptionand housing expenditures have held up reasonably well, though activity in theseareas has flattened recently. Investment in capital equipment, however, hascontinued to decline. The erosion in current and prospective profitability, incombination with considerable uncertainty about the business outlook, seemslikely to hold down capital spending going forward. This potential restraint,together with the possible effects of earlier reductions in equity wealth onconsumption and the risk of slower growth abroad, continues to weigh on theeconomy.With pressures on labor and product markets easing, inflation is expected toremain contained. Although measured productivity growth stalled in the firstquarter, the impressive underlying rate of increase that developed in recentyears appears to be largely intact, supporting longer-term prospects.The Committee continues to believe that against the background of its long-rungoals of price stability and sustainable economic growth and of the informationcurrently available, the risks are weighted mainly toward conditions that maygenerate economic weakness in the foreseeable future.In taking the discount rate action, the Federal Reserve Board approved requestssubmitted by the Boards of Directors of the Federal Reserve Banks of New York,Richmond, Chicago, St. Louis and San Francisco."
2001-06-27,"The Federal Open Market Committee at its meeting today decided to lower itstarget for the federal funds rate by 25 basis points to 3-3/4 percent. In arelated action, the Board of Governors approved a 25 basis point reduction inthe discount rate to 3-1/4 percent. Today's action by the FOMC brings thedecline in the target federal funds rate since the beginning of the year to 275basis points.The patterns evident in recent months--declining profitability and businesscapital spending, weak expansion of consumption, and slowing growthabroad--continue to weigh on the economy. The associated easing of pressures onlabor and product markets is expected to keep inflation contained.Although continuing favorable trends bolster long-term prospects forproductivity growth and the economy, the Committee continues to believe thatagainst the background of its long-run goals of price stability and sustainableeconomic growth and of the information currently available, the risks areweighted mainly toward conditions that may generate economic weakness in theforeseeable future.In taking the discount rate action, the Federal Reserve Board approved requestssubmitted by the Boards of Directors of the Federal Reserve Banks of Boston,New York, Philadelphia, Atlanta, Chicago, Dallas and San Francisco."
2001-08-21,"The Federal Open Market Committee at its meeting today decided to lower itstarget for the federal funds rate by 25 basis points to 3-1/2 percent. In arelated action, the Board of Governors approved a 25 basis point reduction inthe discount rate to 3 percent. Today's action by the FOMC brings the declinein the target federal funds rate since the beginning of the year to 300 basispoints.Household demand has been sustained, but business profits and capital spendingcontinue to weaken and growth abroad is slowing, weighing on the U.S. economy.The associated easing of pressures on labor and product markets is expected tokeep inflation contained.Although long-term prospects for productivity growth and the economy remainfavorable, the Committee continues to believe that against the background ofits long-run goals of price stability and sustainable economic growth and ofthe information currently available, the risks are weighted mainly towardconditions that may generate economic weakness in the foreseeable future.In taking the discount rate action, the Federal Reserve Board approved requestssubmitted by the Boards of Directors of the Federal Reserve Banks of Boston,New York, Philadelphia, Richmond, Chicago, Kansas City and Dallas."
2001-09-17,"The Federal Open Market Committee decided today to lower its target for thefederal funds rate by 50 basis points to 3 percent. In a related action, theBoard of Governors approved a 50 basis point reduction in the discount rate to2-1/2 percent. The Federal Reserve will continue to supply unusually largevolumes of liquidity to the financial markets, as needed, until more normalmarket functioning is restored. As a consequence, the FOMC recognizes that theactual federal funds rate may be below its target on occasion in these unusualcircumstances.Even before the tragic events of last week, employment, production, andbusiness spending remained weak, and last week's events have the potential todamp spending further. Nonetheless, the long-term prospects for productivitygrowth and the economy remain favorable and should become evident once theunusual forces restraining demand abate. For the foreseeable future, theCommittee continues to believe that against the background of its long-rungoals of price stability and sustainable economic growth and of the informationcurrently available, the risks are weighted mainly toward conditions that maygenerate economic weakness.In taking the discount rate action, the Federal Reserve Board approved requestssubmitted by the Boards of Directors of the Federal Reserve Banks of Richmond,Chicago, Minneapolis, Dallas, and San Francisco."
2001-10-02,"The Federal Open Market Committee decided today to lower its target for thefederal funds rate by 50 basis points to 2-1/2 percent. In a related action,the Board of Governors approved a 50 basis point reduction in the discount rateto 2 percent.The terrorist attacks have significantly heightened uncertainty in an economythat was already weak. Business and household spending as a consequence arebeing further damped. Nonetheless, the long-term prospects for productivitygrowth and the economy remain favorable and should become evident once theunusual forces restraining demand abate.The Committee continues to believe that, against the background of its long-rungoals of price stability and sustainable economic growth and of the informationcurrently available, the risks are weighted mainly toward conditions that maygenerate economic weakness in the foreseeable future.In taking the discount rate action, the Federal Reserve Board approved requestssubmitted by the Boards of Directors of the Federal Reserve Banks of Boston,New York, Cleveland, Richmond, Atlanta, St. Louis, Kansas City and SanFrancisco."
2001-11-06,"The Federal Open Market Committee decided today to lower its target for thefederal funds rate by 50 basis points to 2 percent. In a related action, theBoard of Governors approved a 50 basis point reduction in the discount rate to1-1/2 percent.Heightened uncertainty and concerns about a deterioration in businessconditions both here and abroad are damping economic activity. For theforeseeable future, then, the Committee continues to believe that, against thebackground of its long-run goals of price stability and sustainable economicgrowth and of the information currently available, the risks are weightedmainly toward conditions that may generate economic weakness.Although the necessary reallocation of resources to enhance security mayrestrain advances in productivity for a time, the long-term prospects forproductivity growth and the economy remain favorable and should become evidentonce the unusual forces restraining demand abate.In taking the discount rate action, the Federal Reserve Board approved therequest submitted by the Board of Directors of the Federal Reserve Bank ofRichmond."
2001-12-11,"The Federal Open Market Committee decided today to lower its target for thefederal funds rate by 25 basis points to 1-3/4 percent. In a related action,the Board of Governors approved a 25 basis point reduction in the discount rateto 1-1/4 percent.Economic activity remains soft, with underlying inflation likely to edge lowerfrom relatively modest levels. To be sure, weakness in demand shows signs ofabating, but those signs are preliminary and tentative. The Committee continuesto believe that, against the background of its long-run goals of pricestability and sustainable economic growth and of the information currentlyavailable, the risks are weighted mainly toward conditions that may generateeconomic weakness in the foreseeable future.Although the necessary reallocation of resources to enhance security mayrestrain advances in productivity for a time, the long-term prospects forproductivity growth and the economy remain favorable and should become evidentonce the unusual forces restraining demand abate.In taking the discount rate action, the Federal Reserve Board approved therequests submitted by the Boards of Directors of the Federal Reserve Banks ofBoston, New York, Philadelphia, Chicago and San Francisco."
2002-01-30,"The Federal Open Market Committee decided today to keep its target for thefederal funds rate unchanged at 1-3/4 percent.Signs that weakness in demand is abating and economic activity is beginning tofirm have become more prevalent. With the forces restraining the economystarting to diminish, and with the long-term prospects for productivity growthremaining favorable and monetary policy accommodative, the outlook for economicrecovery has become more promising.The degree of any strength in business capital and household spending, however,is still uncertain. Hence, the Committee continues to believe that, against thebackground of its long-run goals of price stability and sustainable economicgrowth and of the information currently available, the risks are weightedmainly toward conditions that may generate economic weakness in the foreseeablefuture."
